time,/jointset/r_shoulder/r_shoulder_elev/value_angulos,/jointset/r_shoulder/r_shoulder_elev/speed_angulos,/jointset/r_elbow/r_elbow_flex/value_angulos,/jointset/r_elbow/r_elbow_flex/speed_angulos,/forceset/TRIlong/activation_angulos,/forceset/TRIlong/fiber_length_angulos,/forceset/TRIlat/activation_angulos,/forceset/TRIlat/fiber_length_angulos,/forceset/TRImed/activation_angulos,/forceset/TRImed/fiber_length_angulos,/forceset/BIClong/activation_angulos,/forceset/BIClong/fiber_length_angulos,/forceset/BICshort/activation_angulos,/forceset/BICshort/fiber_length_angulos,/forceset/BRA/activation_angulos,/forceset/BRA/fiber_length_angulos,base_X_posiciones,base_Y_posiciones,base_Z_posiciones,base_Ox_posiciones,base_Oy_posiciones,base_Oz_posiciones,r_humerus_X_posiciones,r_humerus_Y_posiciones,r_humerus_Z_posiciones,r_humerus_Ox_posiciones,r_humerus_Oy_posiciones,r_humerus_Oz_posiciones,r_ulna_radius_hand_X_posiciones,r_ulna_radius_hand_Y_posiciones,r_ulna_radius_hand_Z_posiciones,r_ulna_radius_hand_Ox_posiciones,r_ulna_radius_hand_Oy_posiciones,r_ulna_radius_hand_Oz_posiciones,center_of_mass_X_posiciones,center_of_mass_Y_posiciones,center_of_mass_Z_posiciones,base_X_velocidades,base_Y_velocidades,base_Z_velocidades,base_Ox_velocidades,base_Oy_velocidades,base_Oz_velocidades,r_humerus_X_velocidades,r_humerus_Y_velocidades,r_humerus_Z_velocidades,r_humerus_Ox_velocidades,r_humerus_Oy_velocidades,r_humerus_Oz_velocidades,r_ulna_radius_hand_X_velocidades,r_ulna_radius_hand_Y_velocidades,r_ulna_radius_hand_Z_velocidades,r_ulna_radius_hand_Ox_velocidades,r_ulna_radius_hand_Oy_velocidades,r_ulna_radius_hand_Oz_velocidades,center_of_mass_X_velocidades,center_of_mass_Y_velocidades,center_of_mass_Z_velocidades,base_X_aceleraciones,base_Y_aceleraciones,base_Z_aceleraciones,base_Ox_aceleraciones,base_Oy_aceleraciones,base_Oz_aceleraciones,r_humerus_X_aceleraciones,r_humerus_Y_aceleraciones,r_humerus_Z_aceleraciones,r_humerus_Ox_aceleraciones,r_humerus_Oy_aceleraciones,r_humerus_Oz_aceleraciones,r_ulna_radius_hand_X_aceleraciones,r_ulna_radius_hand_Y_aceleraciones,r_ulna_radius_hand_Z_aceleraciones,r_ulna_radius_hand_Ox_aceleraciones,r_ulna_radius_hand_Oy_aceleraciones,r_ulna_radius_hand_Oz_aceleraciones,center_of_mass_X_aceleraciones,center_of_mass_Y_aceleraciones,center_of_mass_Z_aceleraciones,TRIlong_activaciones,TRIlat_activaciones,TRImed_activaciones,BIClong_activaciones,BICshort_activaciones,BRA_activaciones,ID_movimiento
0.0,0.0,0.0,70.0,0.0,0.05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.05,0.1,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.017545,0.612504,0.17,-0.0,0.0,-0.0,0.15855097,0.44037057,0.14491347,1.28550864,3.8322477,69.85507529,0.0619477,0.53480006,0.15867552,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023098,0.0,-1.363e-05,0.00432597,-0.00016893,-0.07332073,-0.00057272,-0.00055922,-7.78e-06,-0.00125437,-0.00430336,-0.1860694,-0.00038524,-0.00025244,-1.099e-05,0.0,0.0,0.0,0.0,0.0,0.0,-304.90785116,3e-07,-17.98974641,5710.57831597,-223.00121679,-96788.47737296,-654.77874533,-458.49444201,-25.53505641,2992.95057907,-2236.46642443,-151697.1030938,-462.84548221,-206.97213507,-21.39582679,0.9999821,0.02827339,0.0297858,0.01026332,0.01005053,0.99562822,movimiento_1
1.42e-05,-8.76e-06,-1.16975263,69.99999609,-0.45252441,0.04998979,0.1209075,0.04998979,0.09999535,0.04998979,0.09999535,0.04998979,0.10210815,0.04998979,0.10303643,0.04998979,0.09998446,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01754503,0.612504,0.17,5.2e-07,-2e-08,-8.75e-06,0.15855091,0.44037053,0.14491347,1.28550981,3.83224725,69.85506262,0.06194765,0.53480005,0.15867552,0.0,0.0,0.0,0.0,0.0,0.0,-0.00361851,0.0,-0.00021349,0.06777054,-0.00264648,-1.1486416,-0.00752576,-0.00476473,-0.00033996,0.04676168,-0.01821174,-1.57311753,-0.00538231,-0.00215088,-0.00027058,0.0,0.0,0.0,0.0,0.0,0.0,-304.90776865,0.00011951,-17.98974182,5710.5767709,-223.00115646,-96788.45118564,-654.77880234,-458.4940577,-25.53506101,2992.94896611,-2236.46417078,-151697.06668682,-462.84546268,-206.97189618,-21.39582634,0.99999888,0.47556712,0.47587125,0.01000435,0.01000655,0.52774853,movimiento_1
2.84e-05,-3.176e-05,-2.02558141,69.99998903,-0.49369353,0.04997959,0.13408775,0.04997959,0.09999071,0.04997959,0.09999071,0.04997959,0.10387467,0.04997959,0.10526208,0.04997959,0.09996893,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.0175451,0.612504,0.16999999,1.87e-06,-7e-08,-3.17e-05,0.15855076,0.44037044,0.14491346,1.28551283,3.83224626,69.85503256,0.06194755,0.5348,0.15867551,0.0,0.0,0.0,0.0,0.0,0.0,-0.00640486,0.0,-0.00037789,0.1199558,-0.00468434,-2.03312846,-0.01305925,-0.00771105,-0.00064119,0.09477965,-0.02333708,-2.54180266,-0.00940876,-0.0034809,-0.00049675,0.0,0.0,0.0,0.0,0.0,0.0,-304.90761149,0.00039736,-17.98973318,5710.57382815,-223.00104154,-96788.40130906,-654.77889816,-458.49316733,-25.53507597,2992.9471037,-2236.45903065,-151696.97315562,-462.84541972,-206.97134183,-21.39582836,0.99997938,0.01002163,0.01002203,0.01007462,0.42536535,0.99998379,movimiento_1
5.019e-05,-8.655e-05,-2.93600083,69.9999812,-0.17172435,0.04996394,0.14662585,0.04996394,0.09998358,0.04996394,0.09998358,0.04996394,0.10605515,0.04996394,0.10761011,0.04996394,0.09994515,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01754527,0.612504,0.16999998,5.1e-06,-2e-07,-8.64e-05,0.15855042,0.44037025,0.14491345,1.28551985,3.83224445,69.85496994,0.0619473,0.53479992,0.1586755,0.0,0.0,0.0,0.0,0.0,0.0,-0.00921101,1e-08,-0.00054346,0.17251177,-0.00673668,-2.92389856,-0.01816644,-0.00939192,-0.00101477,0.16451747,-0.01265955,-3.08542013,-0.01325364,-0.00423967,-0.00075622,0.0,0.0,0.0,0.0,0.0,0.0,-304.90740068,0.00093306,-17.98972198,5710.56988137,-223.00088742,-96788.33441514,-654.77897826,-458.49138962,-25.53511876,2992.94958114,-2236.44840948,-151696.74697638,-462.84534023,-206.97024547,-21.39584153,0.99999895,0.01016207,0.01017438,0.01000832,0.70244423,0.99994503,movimiento_1
7.933e-05,-0.00018394,-3.68053138,69.99998608,0.52775293,0.04994302,0.15534199,0.04994302,0.09997405,0.04994302,0.09997405,0.04994302,0.10820928,0.04994302,0.10948398,0.04994302,0.09991344,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01754558,0.612504,0.16999997,1.083e-05,-4.2e-07,-0.00018362,0.15854983,0.44036997,0.14491341,1.28553201,3.83224233,69.85487741,0.06194686,0.53479979,0.15867547,0.0,0.0,0.0,0.0,0.0,0.0,-0.01158624,4e-08,-0.0006836,0.21699723,-0.00847386,-3.67788169,-0.02206976,-0.00965535,-0.00139427,0.24281357,0.010653,-3.15627361,-0.01631868,-0.00435857,-0.0010044,0.0,0.0,0.0,0.0,0.0,0.0,-304.9071691,0.00172686,-17.98971015,5710.56554622,-223.00071813,-96788.26093874,-654.77899846,-458.48879619,-25.53518626,2992.95707064,-2236.43258842,-151696.39898612,-462.84522231,-206.96863928,-21.39586551,0.99999994,0.01000267,0.0100027,0.01000083,0.42001632,0.99999792,movimiento_1
0.00010847,-0.00029811,-4.11999232,70.00001195,1.23467028,0.04992211,0.15932306,0.04992211,0.09996452,0.04992211,0.09996452,0.04992211,0.10973626,0.04992211,0.11052673,0.04992211,0.09988181,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01754594,0.612504,0.16999994,1.756e-05,-6.9e-07,-0.00029759,0.15854915,0.4403697,0.14491337,1.28554592,3.83224104,69.85478906,0.06194636,0.53479967,0.15867544,0.0,0.0,0.0,0.0,0.0,0.0,-0.01295116,7e-08,-0.00076413,0.24256056,-0.00947212,-4.11115404,-0.02396744,-0.00885262,-0.00166442,0.30366263,0.03579698,-2.87661448,-0.01792409,-0.00399618,-0.00117053,0.0,0.0,0.0,0.0,0.0,0.0,-304.90697776,0.00252171,-17.98970069,5710.56196479,-223.00057827,-96788.20023717,-654.77896003,-458.48630952,-25.53524945,2992.96492353,-2236.41672647,-151696.06979999,-462.8451,-206.96708072,-21.39588885,0.9675693,0.01001132,0.01001172,0.22307931,0.47744868,0.64464009,movimiento_1
0.00013761,-0.00042245,-4.39440969,70.0000569,1.82895688,0.04990121,0.16108912,0.04990121,0.09995498,0.04990121,0.09995498,0.04990121,0.11082182,0.04990121,0.11111208,0.04990121,0.09985026,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01754633,0.612504,0.16999992,2.488e-05,-9.7e-07,-0.00042171,0.15854844,0.44036945,0.14491331,1.28556077,3.83224062,69.85470962,0.06194582,0.53479956,0.1586754,0.0,0.0,0.0,0.0,0.0,0.0,-0.01382288,1e-07,-0.00081556,0.25888679,-0.01010967,-4.38786708,-0.02503427,-0.00793895,-0.00185884,0.34918838,0.05679214,-2.56336754,-0.01888389,-0.00358372,-0.00128651,0.0,0.0,0.0,0.0,0.0,0.0,-304.9067873,0.00331428,-17.98969128,5710.55839982,-223.00043906,-96788.13981467,-654.77891235,-458.48401947,-25.53530186,2992.96955715,-2236.40143075,-151695.79680631,-462.84497399,-206.96561216,-21.39590734,0.62977443,0.01001505,0.01001562,0.19567728,0.35219741,0.46474044,movimiento_1
0.00017976,-0.00061334,-4.64321724,70.00014839,2.47293487,0.04987099,0.16204407,0.04987099,0.0999412,0.04987099,0.0999412,0.04987099,0.11186387,0.04987099,0.1115817,0.04987099,0.09980479,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01754693,0.612504,0.16999989,3.612e-05,-1.41e-06,-0.00061228,0.15854736,0.44036915,0.14491323,1.28558319,3.8322413,69.85461011,0.06194501,0.53479942,0.15867535,0.0,0.0,0.0,0.0,0.0,0.0,-0.01460011,1.6e-07,-0.00086142,0.27344356,-0.01067812,-4.63458946,-0.02585808,-0.0067723,-0.0020514,0.39562996,0.07984512,-2.16587834,-0.01968215,-0.00305704,-0.0013986,0.0,0.0,0.0,0.0,0.0,0.0,-304.90650335,0.00445475,-17.98967715,5710.55308495,-223.00023151,-96788.04973293,-654.77884575,-458.48104551,-25.53536111,2992.97020295,-2236.38037666,-151695.50140742,-462.84478816,-206.96364402,-21.39592634,0.13851216,0.01002617,0.01002788,0.20310556,0.20941533,0.24597974,movimiento_1
0.00022191,-0.0008127,-4.80649993,70.00026249,2.91264935,0.04984079,0.16236972,0.04984079,0.09992741,0.04984079,0.09992741,0.04984079,0.11250425,0.04984079,0.11186219,0.04984079,0.09975949,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01754756,0.612504,0.16999985,4.787e-05,-1.87e-06,-0.00081129,0.15854626,0.44036888,0.14491314,1.28560627,3.83224311,69.85452473,0.06194417,0.5347993,0.15867529,0.0,0.0,0.0,0.0,0.0,0.0,-0.01511656,2.1e-07,-0.00089189,0.28311609,-0.01105584,-4.7985289,-0.02639424,-0.00596601,-0.00218104,0.42700513,0.0955447,-1.89133456,-0.0202075,-0.00269304,-0.00147383,0.0,0.0,0.0,0.0,0.0,0.0,-304.90620539,0.0056028,-17.98966222,5710.54750759,-223.00001371,-96787.95520238,-654.77878953,-458.47837398,-25.53540626,2992.96473239,-2236.36039852,-151695.30304064,-462.84459932,-206.96180825,-21.39593853,0.17810249,0.01003535,0.01003719,0.1387575,0.16828201,0.20630237,movimiento_1
0.00027282,-0.00106125,-4.95115142,70.00042059,3.27622364,0.04980435,0.16254095,0.04980435,0.09991076,0.04980435,0.09991076,0.04980435,0.11299412,0.04980435,0.11207988,0.04980435,0.09970502,0.0,0.8,0.0,-0.0,0.0,-0.0,-0.01754834,0.612504,0.1699998,6.251e-05,-2.44e-06,-0.0010594,0.1585449,0.44036859,0.14491303,1.28563478,3.8322463,69.85443412,0.06194313,0.53479917,0.15867521,0.0,0.0,0.0,0.0,0.0,0.0,-0.01556966,2.9e-07,-0.00091862,0.29160201,-0.01138722,-4.94235668,-0.02688809,-0.00532343,-0.00229124,0.45345399,0.10851932,-1.67224133,-0.02067899,-0.00240293,-0.00153825,0.0,0.0,0.0,0.0,0.0,0.0,-304.90583396,0.00700507,-17.98964353,5710.54055527,-222.99974222,-96787.83736769,-654.7787296,-458.47541119,-25.535449,2992.95259291,-2236.33729054,-151695.15217815,-462.84436851,-206.95970153,-21.39594757,0.09174718,0.01004293,0.01004449,0.11992934,0.12660948,0.1497966,movimiento_1
